;start;stop;kpi forecast;kpi standard
0;2018-03-06 03:20:00;2018-03-06 05:22:00;-0.061075263;-0.174447384
0;2018-03-06 07:20:00;2018-03-06 08:20:00;0.0;0.865311827
0;2018-03-06 10:00:00;2018-03-06 11:01:00;0.0;1.3445833870000001
0;2018-03-06 13:00:00;2018-03-06 15:34:00;-1.5684405470000007;-3.6277961170000004
0;2018-03-06 16:20:00;2018-03-06 18:28:00;0.0;-2.5911002639999996
0;2018-03-06 20:20:00;2018-03-06 21:55:00;0.0;-1.6151470190000004
0;2018-03-06 23:40:00;2018-03-07 02:12:00;-0.038738633;7.633957145
0;2018-03-07 04:00:00;2018-03-07 06:11:00;0.0;-1.985477877
0;2018-03-07 08:00:00;2018-03-07 09:16:00;0.0;-0.7907898740000001
0;2018-03-07 11:00:00;2018-03-07 12:16:00;0.0;3.0042969440000005
0;2018-03-07 13:20:00;2018-03-07 14:21:00;0.0;-0.279225258
0;2018-03-07 16:20:00;2018-03-07 19:01:00;-1.7028536969999997;-1.671064398
0;2018-03-07 20:00:00;2018-03-07 22:12:00;0.0;-1.256129761
0;2018-03-08 00:00:00;2018-03-08 02:49:00;1.0687026830000002;2.9395054350000005
0;2018-03-08 04:00:00;2018-03-08 05:08:00;0.0;-0.6178660129999999
0;2018-03-08 06:40:00;2018-03-08 08:25:00;-0.9199195570000003;-1.0719991219999998
0;2018-03-08 09:20:00;2018-03-08 10:29:00;0.0;6.803463904999999
0;2018-03-08 12:20:00;2018-03-08 13:54:00;0.691955855;0.874165998
0;2018-03-08 15:00:00;2018-03-08 16:45:00;-1.0480342599999999;-1.625381341
0;2018-03-08 18:20:00;2018-03-08 20:50:00;-0.477489882;-3.1980221269999993
0;2018-03-08 23:00:00;2018-03-09 00:50:00;0.0;0.799226181
0;2018-03-09 02:40:00;2018-03-09 04:53:00;-2.315381327;-3.121419717
0;2018-03-09 06:40:00;2018-03-09 09:38:00;-3.194683167;-3.906048861999998
0;2018-03-09 11:00:00;2018-03-09 12:24:00;0.0;6.014563146999997
0;2018-03-09 14:20:00;2018-03-09 16:56:00;1.162557849;15.660226341000001
0;2018-03-09 18:40:00;2018-03-09 21:38:00;-3.520399078;-4.139648207999999
0;2018-03-09 23:40:00;2018-03-10 00:57:00;0.0;1.11140244
0;2018-03-10 02:40:00;2018-03-10 04:43:00;2.145488273;0.24629915700000002
0;2018-03-10 05:40:00;2018-03-10 08:20:00;-2.282241722999999;-1.9402313909999989
0;2018-03-10 10:00:00;2018-03-10 12:30:00;4.0648396469999994;6.652361789
0;2018-03-10 13:40:00;2018-03-10 14:51:00;0.0;-0.51735858
0;2018-03-10 16:40:00;2018-03-10 19:32:00;-3.7056021919999997;-3.7478951449999998
0;2018-03-10 21:20:00;2018-03-10 22:23:00;-0.995658056;-1.270730578
0;2018-03-10 23:20:00;2018-03-11 01:58:00;-3.1324387229999995;-3.1800909069999994
0;2018-03-11 03:40:00;2018-03-11 05:12:00;-2.4044455739999995;-4.071532270999999
0;2018-03-11 06:40:00;2018-03-11 08:43:00;-1.0490347309999999;-2.1025085070000014
0;2018-03-11 09:40:00;2018-03-11 11:23:00;4.210837344000001;11.154793230000003
0;2018-03-11 13:00:00;2018-03-11 14:52:00;3.141334579000001;4.229925146000003
0;2018-03-11 16:20:00;2018-03-11 19:17:00;-3.8991938319999986;-4.596826136
0;2018-03-11 20:20:00;2018-03-11 22:23:00;-1.2957528360000001;-1.4388542519999996
0;2018-03-11 23:40:00;2018-03-12 02:34:00;-2.1957111200000003;-2.2363047659999995
0;2018-03-12 04:00:00;2018-03-12 06:39:00;-2.023238967;-2.1312999130000008
0;2018-03-12 07:40:00;2018-03-12 08:41:00;0.0;7.785515305000001
0;2018-03-12 10:20:00;2018-03-12 13:19:00;0.0;33.011881517000006
0;2018-03-12 15:20:00;2018-03-12 16:47:00;0.0;3.0795323850000003
0;2018-03-12 18:00:00;2018-03-12 19:26:00;-9.011376185000003;-12.282949347
0;2018-03-12 20:40:00;2018-03-12 23:27:00;-3.679751146;-3.6381766939999993
0;2018-03-13 00:40:00;2018-03-13 01:42:00;0.0;-0.7736982629999998
0;2018-03-13 03:20:00;2018-03-13 05:58:00;-4.818395735;-4.975977397
0;2018-03-13 07:20:00;2018-03-13 09:25:00;10.002067367999997;9.408556876999997
0;2018-03-13 10:20:00;2018-03-13 12:42:00;2.3315274570000004;8.528874258
0;2018-03-13 14:40:00;2018-03-13 17:06:00;-2.496374638;-3.56592286
0;2018-03-13 18:00:00;2018-03-13 19:01:00;0.0;-1.7550371369999997
0;2018-03-13 21:00:00;2018-03-13 22:22:00;0.0;-1.5406718019999999
